,context,word,POS,sum_logprobs
0,А промывать манную, крупу,NOUN,-0.645974115410354
1,А промывать манную, кашу,NOUN,-0.771710779517889
2,А промывать манную, к,ADP,-6.770664215087891
3,А промывать манную, каша,NOUN,-6.948278471827507
4,А промывать манную, пшеницу,NOUN,-7.0916823542211205
5,А промывать манную, кашку,NOUN,-7.771710574626923
6,А промывать манную, пудру,NOUN,-8.389837715541944
7,А промывать манную, крупку,VERB,-9.145974338054655
8,А промывать манную, крошку,NOUN,-9.451414674520493
9,А промывать манную, пшеничную,ADJ,-9.488590240478516
10,А промывать манную, пшенку,NOUN,-9.647879123687744
11,А промывать манную, пшено,NOUN,-10.089800924062729
12,А промывать манную, каши,NOUN,-10.646710574626924
13,А промывать манную, кутью,NOUN,-10.96501019410789
14,А промывать манную, крупы,NOUN,-11.020974338054655
15,Автор принадлежит к числу последних свидетелей, и,CCONJ,-2.554851531982422
16,Автор принадлежит к числу последних свидетелей, тех,DET,-2.679851531982422
17,Автор принадлежит к числу последних свидетелей, эпох,NOUN,-2.929851531982422
18,Автор принадлежит к числу последних свидетелей, эпохи,NOUN,-2.9310474761296064
19,Автор принадлежит к числу последних свидетелей, событий,NOUN,-3.054851531982422
20,Автор принадлежит к числу последних свидетелей, того,PRON,-3.179851531982422
21,Автор принадлежит к числу последних свидетелей, эпохального,ADJ,-11.556047439575195
22,Автор принадлежит к числу последних свидетелей, эпохальных,ADJ,-12.056047439575195
23,Автор принадлежит к числу последних свидетелей, эпохальной,ADJ,-12.806047439575195
24,"В багажнике были лопата,", ведро,NOUN,-2.5060713291168213
25,"В багажнике были лопата,", топор,NOUN,-2.885691095609218
26,"В багажнике были лопата,", кирка,NOUN,-3.0095778258983046
27,"В багажнике были лопата,", ломы,NOUN,-3.375025153160095
28,"В багажнике были лопата,", канистры,NOUN,-3.53829657076858
29,"В багажнике были лопата,", мотыга,NOUN,-3.5396873531863093
30,"В багажнике были лопата,", канистра,NOUN,-3.6607778668403625
31,"В багажнике были лопата,", ведра,NOUN,-3.756071329116821
32,"В багажнике были лопата,", лопата,NOUN,-4.034103140234947
33,"В багажнике были лопата,", ведер,NOUN,-4.506071329116821
34,"В багажнике были лопата,", ведерко,NOUN,-4.601294457912445
35,"В багажнике были лопата,", мачете,NOUN,-4.638120383024216
36,"В багажнике были лопата,", лебедка,NOUN,-4.7068957628216594
37,"В багажнике были лопата,", лук,NOUN,-4.750025272369385
38,"В багажнике были лопата,", лейка,NOUN,-4.753142263507471
39,В бассейне, в,ADP,-3.656225442886353
40,В бассейне, на,ADP,-3.656225442886353
41,В бассейне,".
В",INTJ,-4.510863780975342
42,В бассейне,"
В",INTJ,-5.456182479858398
43,В бассейне,"
На",ADP,-5.831182479858398
44,В бассейне,".
А",INTJ,-5.885863780975342
45,В бассейне,".
И",CCONJ,-6.010863780975342
46,В бассейне, 25,NUM,-6.241974830627441
47,В бассейне,".
На",ADP,-6.260863780975342
48,В бассейне, 2,NUM,-6.491974830627441
49,В бассейне,".
Я",PRON,-6.510863780975342
