context,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,SCONJ,VERB
А промывать манную,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
Автор принадлежит к числу последних свидетелей,0.1935483870967742,0.0,0.0,0.0,0.06451612903225806,0.0,0.5483870967741935,0.0,0.0,0.0967741935483871,0.0,0.0967741935483871
"В багажнике были лопата,",0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
В бассейне,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0,0.0,0.0
В вопросе послышался упрёк,0.125,0.25,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125
В деревнях по-прежнему,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.7692307692307693
В каждом,0.125,0.0625,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0625
В качестве примера приводится,0.25,0.025,0.0,0.025,0.075,0.0,0.55,0.025,0.0,0.05,0.0,0.0
В конверте вместе с деньгами была,0.1875,0.0,0.0625,0.0,0.0625,0.0,0.5,0.0,0.0,0.0,0.0,0.1875
В котёл бросают куски,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4
В лесу ветром,0.0,0.0,0.024390243902439025,0.024390243902439025,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.9024390243902439
В мои обязанности входило утром включить,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
В речи учёного прозвучало,0.2553191489361702,0.0,0.06382978723404255,0.02127659574468085,0.0425531914893617,0.0,0.46808510638297873,0.06382978723404255,0.02127659574468085,0.0425531914893617,0.0,0.02127659574468085
В современном,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
В сюжете этого фильма какие-то,0.18518518518518517,0.037037037037037035,0.0,0.0,0.0,0.0,0.7407407407407407,0.0,0.037037037037037035,0.0,0.0,0.0
В темноте Иван задел острый,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
В тот момент,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666
В числе возможных кандидатов,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4
Ваня раскрыл было,0.03125,0.0625,0.0,0.03125,0.0625,0.03125,0.6875,0.0,0.0,0.0625,0.0,0.03125
"Взяв с собой фотоаппарат, вся",0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111
Власть судов была такой,0.6923076923076923,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0
Во избежание ожогов надо нанести на лицо небольшое,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Возможности этих перемен будут обсуждаться в Париже,0.0,0.4,0.2,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0
