context,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,SCONJ,VERB
А промывать манную,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
Автор принадлежит к числу последних свидетелей,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
"В багажнике были лопата,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
В бассейне,0.0,0.26666666666666666,0.0,0.06666666666666667,0.0,0.2,0.0,0.4,0.0,0.06666666666666667,0.0,0.0,0.0
В вопросе послышался упрёк,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.2,0.0,0.06666666666666667,0.26666666666666666,0.0,0.06666666666666667,0.13333333333333333
В деревнях по-прежнему,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667
В каждом,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
В качестве примера приводится,0.4,0.0,0.06666666666666667,0.0,0.0,0.0,0.4,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667
В конверте вместе с деньгами была,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.4
В котёл бросают куски,0.2,0.0,0.0,0.0,0.0,0.06666666666666667,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
В лесу ветром,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
В мои обязанности входило утром включить,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
В речи учёного прозвучало,0.6,0.0,0.2,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
В современном,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.2
В сюжете этого фильма какие-то,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
В темноте Иван задел острый,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
В тот момент,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.3333333333333333,0.0,0.06666666666666667,0.0
В числе возможных кандидатов,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ваня раскрыл было,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
"Взяв с собой фотоаппарат, вся",0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
Власть судов была такой,0.7333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
Во избежание ожогов надо нанести на лицо небольшое,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.6,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0
Возможности этих перемен будут обсуждаться в Париже,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
Володя каким-то образом,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.8666666666666667
Врач прописал заживляющую,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
Вспоминая,0.26666666666666666,0.06666666666666667,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0
"Выходя замуж, ты надеялась обрести спокойствие, уютный",0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
"Город, раскинувшийся вдоль",0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Государством предлагается,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
Дорога ведет в глухой,0.26666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,0.6,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
Дрозды и сковрцы начали,0.13333333333333333,0.0,0.0,0.0,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
"Думаю, большой",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Душа требовала,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.13333333333333333
Ее сын Гриша умер,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.4,0.0,0.06666666666666667,0.0,0.0,0.0
Ей никак не суметь,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.6
Ей хотелось выплеснуть чай на бежевый,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
"Елена сидела в кресле, молодая Мурка",0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Ему удалось вскрыть банку об острый край,0.13333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.0,0.13333333333333333,0.4666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
Если мы позволим этим людям,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.8666666666666667
Если я еще увижу здесь хоть,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.0
"Журналист взял карандаш,",0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.7333333333333333
За два года накопилась,0.8,0.0,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
За министром труда тянется целый,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"За углом ― Морской музей, с бесчисленными моделями",0.26666666666666666,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.6,0.0,0.0,0.0,0.0,0.0,0.0
"Зачем ему звонить, если откликается",0.0,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.06666666666666667
Здесь потребуется,0.5454545454545454,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727
"Зоопарк ― это кусочек другого мира, находящийся в самом",0.6,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
И на берегу озера тогда появляются,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.8,0.0,0.06666666666666667,0.0,0.0,0.0
И не надо ставить это целью,0.0,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.2,0.0,0.13333333333333333,0.26666666666666666,0.0,0.06666666666666667,0.06666666666666667
Ирине досталась,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0
Каждое утро на самый верх,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.4
Какие главные лекарства должны,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333
Клиенты воровали из ресторана,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.6,0.0,0.0,0.06666666666666667,0.0,0.0
Когда мне хотелось,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.8
Когда она в самолёте,0.0,0.06666666666666667,0.13333333333333333,0.2,0.0,0.26666666666666666,0.0,0.0,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0
Когда родители,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.8
Количество денег в обороте выросло благодаря,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333
"Мама брала меня с собой, и мы, сдав",0.2,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.4666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667
Мне было лень идти на стоянку и сметать,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
"Мне нравится сын коллеги,",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Можно будет,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333
"Музыканты играли на похоронах, разгружали",0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Мы установили камеру на новый,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
На Ольгу Васильевну было написано,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.0,0.0
На болотах оставался ещё,0.26666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.5333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0
На ведущей вниз,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.0,0.06666666666666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0
На вторичном рынке жилья,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.4666666666666667
