,context,word,POS
0,У моего отца был счёт в швейцарском,к,ADP
1,У моего отца был счёт в швейцарском,банке,NOUN
2,Во избежание ожогов надо нанести на лицо небольшое,количество,NOUN
3,Причиной аварии был мобильный,звонок,NOUN
4,Причиной аварии был мобильный,телефон,NOUN
6,Врач прописал заживляющую,салфетку,NOUN
7,Врач прописал заживляющую,настойку,NOUN
8,Врач прописал заживляющую,мазь,NOUN
9,Этот роман захватывает читателя с первой,строчки,NOUN
10,Этот роман захватывает читателя с первой,строки,NOUN
11,Этот роман захватывает читателя с первой,страницы,NOUN
12,Судя по огромному,опыту,NOUN
13,Судя по огромному,желанию,NOUN
14,Судя по огромному,размеру,NOUN
15,Судя по огромному,выбору,NOUN
16,Судя по огромному,чемодану,NOUN
17,Судя по огромному,числу,NOUN
18,Судя по огромному,напряжению,NOUN
19,Судя по огромному,миру,NOUN
20,Судя по огромному,спросу,NOUN
21,Судя по огромному,наплыву,NOUN
22,Судя по огромному,росту,NOUN
23,Судя по огромному,прыщу,VERB
24,Судя по огромному,шару,NOUN
25,Судя по огромному,объему,NOUN
26,Судя по огромному,интересу,NOUN
27,Судя по огромному,носу,NOUN
28,Судя по огромному,вкладу,NOUN
29,Судя по огромному,саду,NOUN
30,Судя по огромному,снами,NOUN
31,Судя по огромному,урожаю,NOUN
32,Судя по огромному,расстоянию,NOUN
33,Судя по огромному,влиянию,NOUN
34,Судя по огромному,стечению,NOUN
35,Судя по огромному,облаку,NOUN
36,Судя по огромному,восхищению,NOUN
37,Судя по огромному,животу,NOUN
38,Судя по огромному,чемодан,NOUN
39,Судя по огромному,пространству,NOUN
40,Судя по огромному,потенциалу,NOUN
41,Судя по огромному,различию,NOUN
42,Судя по огромному,жизнь,NOUN
43,Судя по огромному,впечатлению,NOUN
44,Судя по огромному,возмущению,NOUN
45,Судя по огромному,следу,NOUN
46,Судя по огромному,вниманию,NOUN
47,Судя по огромному,кратеру,NOUN
48,Судя по огромному,распространению,NOUN
49,Судя по огромному,всему,PRON
50,Судя по огромному,количеству,NOUN
51,Судя по огромному,недостатку,NOUN
52,Судя по огромному,изобилию,NOUN
53,Судя по огромному,скоплению,NOUN
54,Какие главные лекарства должны,принимать,VERB
55,Какие главные лекарства должны,провоцировать,VERB
56,Какие главные лекарства должны,помогать,VERB
57,Какие главные лекарства должны,продавать,VERB
58,Какие главные лекарства должны,применяться,VERB
59,Какие главные лекарства должны,взять,VERB
60,Какие главные лекарства должны,стоять,VERB
61,Какие главные лекарства должны,продаваться,VERB
62,Какие главные лекарства должны,знать,VERB
63,Какие главные лекарства должны,всегда,ADV
64,Какие главные лекарства должны,быть,VERB
65,Какие главные лекарства должны,находиться,VERB
66,Какие главные лекарства должны,лежать,VERB
67,Какие главные лекарства должны,были,VERB
68,Дорога ведет в глухой,тупик,NOUN
69,Дорога ведет в глухой,район,NOUN
70,Дорога ведет в глухой,овраг,NOUN
71,Дорога ведет в глухой,человек,NOUN
72,Дорога ведет в глухой,переулок,NOUN
73,Дорога ведет в глухой,поселок,NOUN
74,Дорога ведет в глухой,бор,NOUN
75,Дорога ведет в глухой,закоулок,NOUN
76,Дорога ведет в глухой,угол,NOUN
77,Дорога ведет в глухой,заброшенный,VERB
78,Дорога ведет в глухой,глухой,ADJ
79,Дорога ведет в глухой,заросший,VERB
80,Дорога ведет в глухой,улус,NOUN
81,Дорога ведет в глухой,хутор,NOUN
82,Дорога ведет в глухой,лес,NOUN
83,На газовой плите стояла,кастрюля,NOUN
84,На газовой плите стояла,сковородка,NOUN
85,На газовой плите стояла,сковорода,NOUN
86,На газовой плите стояла,полная,ADJ
87,На газовой плите стояла,большая,ADJ
88,В современном,читателе,NOUN
89,В современном,мире,NOUN
90,В современном,обществе,NOUN
91,В конверте вместе с деньгами была,открытка,NOUN
92,В конверте вместе с деньгами была,душегрейка,NOUN
93,В конверте вместе с деньгами была,записка,NOUN
94,В конверте вместе с деньгами была,ватная,ADJ
95,В конверте вместе с деньгами была,картинка,NOUN
96,В конверте вместе с деньгами была,еще,ADV
97,В конверте вместе с деньгами была,эта,DET
98,В конверте вместе с деньгами была,прилагательное,NOUN
99,В конверте вместе с деньгами была,конфетка,NOUN
100,В конверте вместе с деньгами была,найдена,VERB
101,В конверте вместе с деньгами была,скрепка,NOUN
102,В конверте вместе с деньгами была,поздравительная,ADJ
103,В конверте вместе с деньгами была,зеленая,ADJ
104,В конверте вместе с деньгами была,вещь,NOUN
105,В конверте вместе с деньгами была,положена,VERB
106,В конверте вместе с деньгами была,прикрепленная,VERB
107,"Выходя замуж, ты надеялась обрести спокойствие, уютный",быт,NOUN
108,"Выходя замуж, ты надеялась обрести спокойствие, уютный",чердак,NOUN
109,"Выходя замуж, ты надеялась обрести спокойствие, уютный",о,INTJ
110,"Выходя замуж, ты надеялась обрести спокойствие, уютный",кров,NOUN
111,"Выходя замуж, ты надеялась обрести спокойствие, уютный",уголок,NOUN
112,"Выходя замуж, ты надеялась обрести спокойствие, уютный",очаг,NOUN
113,"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,NOUN
114,Стала стабильнее экономическая и политическая,система,NOUN
115,Стала стабильнее экономическая и политическая,ситуация,NOUN
116,Стала стабильнее экономическая и политическая,обстановка,NOUN
117,Власть судов была такой,какой,DET
118,Власть судов была такой,сильной,ADJ
119,Власть судов была такой,значительной,ADJ
120,Власть судов была такой,жестокой,ADJ
121,Власть судов была такой,безграничной,ADJ
122,Власть судов была такой,большой,ADJ
123,Власть судов была такой,огромной,ADJ
124,Власть судов была такой,важной,ADJ
125,Власть судов была такой,непоколебимой,ADJ
126,Власть судов была такой,как,SCONJ
127,Власть судов была такой,что,PRON
128,Власть судов была такой,р,NOUN
129,Власть судов была такой,дурной,ADJ
130,Ей хотелось выплеснуть чай на бежевый,стол,NOUN
131,Ей хотелось выплеснуть чай на бежевый,пиджак,NOUN
132,Ей хотелось выплеснуть чай на бежевый,ковер,NOUN
133,Ей хотелось выплеснуть чай на бежевый,платок,NOUN
